username,created_date,age,gender,city,state,rating,activity_name,title,activity_text,offline_reach,facebook_reach,twitter_reach
ikoppandi,6/9/2013,45,f,Moreland Hills,OH,5,Race to Review Energy Blends,Graduation parties can be long but withPowerBar Performance energy blends the party goes on forever!,"All day and all night lasted the last 5 graduation parties we have been invited to. With the PowerBar Performance Energy blend #GotItFree we have danced, partied non-stop till the morning.",,,1
akbain,6/8/2013,36,f,Katy,TX,4,Race to Review Energy Blends,running fuel,"The flavor of this stuff is good. The energy bump I  get from it is good. Still not a fan of the texture. ",,,
gatorvet92,6/8/2013,46,f,Arlington,TX,5,Race to Review Energy Blends,Tasty and refreshing,"I am a long-time user of PowerBar Gels and Gel Blasts, so was very excited to try the PowerBar Energy Blends.  I was a little concerned about the size of the package, and probably would not take them on runs much for that reason, but they are great on the bicycle.  I have tried both flavors and loved them both.  Went out and bought some more (when I found them).  They are like a thick juice drink and are a nice change from bars and gels.  I found them very refreshing and look forward to using them more on bike rides and in triathlons.",,,
mgforestlake,6/8/2013,38,f,Burnsville,MN,5,Race to Review Energy Blends,Power Bars,I shared these with my daughter cause she works out a lot.  She loved them.  she said that it gave her that extra boost of energy that she needed.,,,
Jhoparmy,6/8/2013,35,m,Sturgis,MI,3,Race to Review Energy Blends,Good energy bad taste,"I have to say the energy that I got from this was amazing, however the taste was not.  Now, I realize that most of these products aren't made to taste good, but this one could be better.  I can say that while using this my race times were much faster.  ",,,
deboer5,6/7/2013,37,f,Holland,MI,5,Race to Review Energy Blends,Super YUMMY!,"I love these portable little pouches of protein and vitamins! The flavor is amazing and they are super easy to just toss in my bag so I can have a quick snack after my workout. I wish my favorite grocery store had them in stock, but other than that, I love the PowerBar energy blends and will definitely be purchasing them again and recommending them to my friends and family.",,,
aerodancer,6/7/2013,46,f,East Meadow,NY,1,Race to Review Energy Blends,Adult Baby Food,"I really did not care for this product.  It was very sweet, and tasted and looked like baby food. The consistency was not at all pleasing.  I wouldn't recommend this product.",,,
Redcat1,6/7/2013,48,f,Butler,PA,4,Race to Review Energy Blends,PowerBar Performance Energy Blends deliver!,"Nestle' really outdid themselves with this product for athletes.  Including real fruit & being gluten-free,  it is a dream product.  It really seems to have helped my performance when I need that extra boost during a long run or hard workout.  The price is pretty good too!",,,
tehardin15,6/7/2013,25,f,The Dalles,OR,4,Race to Review Energy Blends,Great energy but not in love with the texture.,"I drank this product before i went on a jog and i was impressed with the energy boost it gave me, however I did not like the texture. It felt like i was drinking baby food or gritty juice. The flavor was good though. I would recommend this product to anyone who wants the energy and can get passed the baby food feeling.",,,2
Rhiannon763,6/7/2013,25,f,Dallas,TX,4,Race to Review Energy Blends,Power Your Way Through the Day,"Every morning around 5:30AM I get up and run or lift weights for an hour.  After a long night, waking up early and staying motivated and energized to work out can be difficult.  PowerBar Performance Energy Blends gave me just the right amount of energy (without giving me the jitters) to power me thru my workout and keep me energized in time for work at 8.  As suggested, I took one Performance Blend prior to working out and one directly following my workout.  I tried both the berry and apple flavors and preferred the apple.  I also tried the second blend refrigerated.  I am someone who has a hard time with the consistency of certain foods so I actually preferred the Performance Blend refrigerated.  It reminded me of yogurt.  I noticed a difference in my performance (and mood) about 10 minutes after consuming an entire Performance Blend.  There are 19 grams of sugar which is a lot for the small package (considering a 12oz coke has 39 grams) but I never noticed a post workout crash.  I also like how convient the packaging is for the Performance Blend.  I was able to just through it in my gym bag, no mixing required and no risk of spillage.  I also like that the top is resealable so you don't have to worry about finishing it all within the first few minutes of opening it.  I had a little 10 minutes before the workout began and finished it immediately before beginning.  Overall I would recommend this energy gel to any athlete looking for a jolt of energy without loading down your body with a bar or filling your stomach with liquid from an energy drink.  It works almost immediately and the effects will last long enough to get through rigorous activity for just over an hour!  ",,,
Saalwardt,6/7/2013,49,f,Plymouth,MA,5,Race to Review Energy Blends,The power of C2Max,Still loving the energy I get for my gym sessions.  My favorite is the banana blueberry.  Tastes delicious and energizes me to be at top form,,,3
krinkle2008,6/7/2013,27,f,Clarksville,TN,4,Race to Review Energy Blends,the hubby thought they were great. me not so much,hubby really liked powerbar performance energy blends. He liked the little extra it gave him during his workout. I couldnt get passed the texture so I wasnt able to give these a full review so I had him try them. They were easy to open on the move and didnt make a mess which is always good. who wants to stop what there doing? He liked the taste and didnt mind the texture. They are small and convenient which is another plus for a working out. After both of our tastings I think if you dont mind the texture they work great!,,,2
ashimg12,6/7/2013,38,m,Sacramento,CA,4,Race to Review Energy Blends,PoweBar Energy Blends,I received the PowerBar Energy Blends from BzzAgent and was really excited to try it out when hiking.  I really like that you can take them anywhere and it doesn't take up very much room at all.  I took it while hiking along the coast and it really gave me the energy boost I needed to keep going with out having to stop and have something to eat.  It gives you that extra boost you need.,,,257
joycealmazan,6/7/2013,39,f,Porter Ranch,CA,4,Race to Review Energy Blends,Great before workout pick me up,I love the Powerbar Energy Blends. The great aspect of this product is that you can store it in your gym bag for a before or after workout pick me up with no fuss no mess! They do give you that needed before workout boost with out the jittery feeling those energy drinks sometimes give you.  The flavors are outstanding and they are avalible at your nearest Ralphs and I even saw them at our 7 Eleven.,,,
JustMeMissMarie,6/7/2013,37,f,Manchester,NH,5,Race to Review Energy Blends,Low Key on treadmill or a 50 mile marathon! ,"I don't have time to buy special powders & such to add to my workout drinks, so the new PowerBar® Performance Energy Blends is a great add on to my water bottle. It has a re-sealable top, not that you WONT finish it in one sitting, great flavor & a natural energy boost. I use it for my low key workouts at the gym or when Im hiking near my house, but my sister is now using them too and she just completed a 50 mile marathon in UNDER 10 hours! ",,,732
knollyfam,6/7/2013,35,f,Sussex,WI,3,Race to Review Energy Blends,Hopeful but disappointed,"I was curious to try these products, as I am always looking for the next best thing when it ones to renewing energy and getting extra protein. I didn't notice much as far as energy building and wasn't very pleased with the texture of the flavor. It was a thicker texture than I was anticipating, and being very weird with textures in general..it didn't sit well with me. With the second one, I thought it may be better if it were colder, so I put it in the refrigerator, but didn't like the mango flavor of that one at all. I probably am not going to recommend this product to my friends or family.",,,
janinelee,6/7/2013,41,f,Tuscumbia,AL,5,Race to Review Energy Blends,Great taste,"Some products do not have a pleasant taste. But, the PowerBar Performance Energy Blends taste great. I do not dread drinking the product I actualy look forward to it. I have seen some people looking at the product and I share with them how it makes me feel after a workout and that it taste good too.",,,
lnblnb,6/7/2013,36,f,Wyoming,MI,5,Race to Review Energy Blends,"Kids love them, too!","Ever have to bring a snack for your kids soccer/baseball/lacrosse/etc game and struggle with something that is easily portable and healthy?  Powerbar Energy Blends are perfect!No squished bananas or grapes or hours spent slicing apples only to have them turn brown.  Powerbar Energy Blends have a flavor kids love and are as easy to eat as a juice box!  Giving coach an extra couple of minutes to strategize during half-time break.",,,
sweetnothings,6/7/2013,27,f,Marana,AZ,3,Race to Review Energy Blends,Portable Powerbar Energy Blend,Tested both flavors and shocking liked them both pretty much equal. I can see myself picking up a few of these to have on hand for those intense workouts at the gym. I love that they are portable and easy to drink from. Great little add on item for my don't have time days to prepare a protein shake and want that added boost. ,,,
Ms_Cathy,6/7/2013,37,f,Haworth,OK,3,Race to Review Energy Blends,PowerBar Energy,"I tried PowerBar Energy Blends and really hoped that I would like them and they would work for me better than others I had tried. No such luck! While they are good tasting, they just don't compare to my Advocare Spark energy drinks. Not enough energy provided or long-lasting. Hope to see improvements in the PowerBar so they will work in the future.",,,
Westfalialand,6/7/2013,33,f,Tacoma,WA,4,Race to Review Energy Blends,"Pretty good, and very easy to use.","I am a big fan of real food, and prefer it over things like this typically, but this was really good. It tasted like the real fruit it was made from (even fresh), and was super convenient on my hike last weekend. I love how small and easy-to-pack it is, and love that it's not messy to pack out. This would be really great in a race (running), too.",,,2
Paryz87,6/6/2013,42,m,Cary,NC,4,Race to Review Energy Blends,PowerBar Performance Energy Blends  get the job done!,"As an endurance athlete I have tried all kinds of gels, gu s, bars, etc for helping in fueling my training and races.   I really enjoyed the PowerBar Performance Energy Blends both for their flavor and the effectiveness.  I found the flavors both the Banana Blueberry and the Apple Mango Strawberry to be very tasty.  The consistency is sort of like baby food so I found it easier to use pre-training than during. ( I tried both.) I found I needed water on the run after taking it as it was a bit thick and happened to be hot that day.  I was pleased that it tasted more like actual fruit than a sugar/gel that was flavored to taste like something.     More importantly, I felt it helped my energy levels while training.  I am not going to get into why that is, their blend of fructose to glucose,etc , because I believe that it is all very individualized as to what works for you and your biochemistry.  I have not raced with it yet mainly because I try to use what is on course.  Although they were at the expo for my recent Half Ironman, Raleigh 70.3, it was not available on course.   In summary, the Performance Blends had a great flavor, easy to use and boosted my energy while training.  ",,,
RainyRain,6/6/2013,36,f,Waukegan,IL,3,Race to Review Energy Blends,Loved the taste but didn't care for the consistency of the ,"Loved the taste!!! I just couldn't get passed the thickness of the product. It kinda reminded me of baby food. I would rather drink a water based drink than this. Energy wise, it kept me on the go and motivated but nothing out of the ordinary. It gave me a little boost and that was enough to make it through the work out. Great product I just wich it was more like a juice.",,,
jolifleur,6/6/2013,48,f,Orlando,FL,5,Race to Review Energy Blends,Decent fueling beverage.,"i drink these energy blends 30min before a run (long or short) and they provide long lasting energy and that 1X caffeine boost is really effective! it definitely helps with muscle recovery after a workout but it also helps energize me at the beginning of a run.i like the mild flavor. Highly recommend to anyone who is training for triathlon, running or needs something to keep energy levels high. ",,,5
zoehunter,6/6/2013,38,f,Pleasant Valley,NY,5,Race to Review Energy Blends,Loving my Energy Blend...,"I just started training for two obstacle races this summer, and I need all of the help I can get. So these Powerbar Performance Energy Blends came at the right time. They are delicious, nutritious and full of the right stuff to keep my energy going after a hard workout or run. I love them already and will be adding them to my shelf of delicious new products.",,860,6355
essingtonj,6/6/2013,40,f,Cedar Park,TX,5,Race to Review Energy Blends,Can't believe it!,"I've used these energy blends several times now and I can't believe how great they taste, how easy they are to use, how much energy boost I get, and how inexpensive they are!  It's all around win-win!!  My husband has used other gels in the past, but always complained of a strange, artificial taste - these taste natural and he really loves them!",,,
hebw123,6/6/2013,36,f,Akron,OH,4,Race to Review Energy Blends,Tastes good like real fruit,"There's a lot to be said for real fruit on the go.  This is a plus of powerbar's performance energy blends.  They are great for travel, to throw in your backpack for a hike or a long bike ride.  I will say, the packaging took some getting used to... It seemed a little like toddler food to me at first.  The taste is good, though, an I've actually grown to like the convienience of it.  I like that it is healthy and natural and a great fuel source on the run!",,,
asummitt,6/6/2013,49,f,Ellettsville,IN,5,Race to Review Energy Blends,PowerBar Performance Energy Blends Better Than Expected,"Okay, so I thought it only fair that I write a second review on PowerBar Performance Energy Blends. My first review was just so-so. But now that I have tried them again, I've actually grown to like them quite a lot. I do think the consistency takes a little bit of getting used to. When I first open a package, the very first taste is shocking. But after that, I love them! I actually think I'm addicted! They have a great flavor and they hit the spot right before a run. Especially if I haven't had breakfast. The fact that they contain real fruit is a bonus! So, after a second try I highly recommend them. (I received these products for free as part of a Bzzcampaign.)",,80,211
bahet1,6/6/2013,37,f,S. Chesterfield,VA,4,Race to Review Energy Blends,"Fruit, Fuel, Fun, Fast","Wow!  this stuff is great!  When I received it I was a bit confused as I thought Power BAR would be like an energy bar or something.  I wasn't disappointed though.  It's good and much easier to eat than some chewy, crumbling, bar that gets all over everything or worse has that ""chocolate"" coating that melts on my fingers.  Because it's a gel it seems to hit the system faster too.  I was energized and not hungry.  I'll be buying more. ",,,
Winethief,6/6/2013,38,f,Fairfield,CA,5,Race to Review Energy Blends,Yummy!!  Power blends are great tasting!,I must say I really like the flavor of these power packs! Gets me going before I go take my son for our daily walks! I'm hooked :),,,
jlbinns0512,6/6/2013,40,f,Dallas,TX,5,Race to Review Energy Blends,Amazing Product,My son and I both tried these drinks before our workout.  We had so much energy and stamina.  it made a HUGE difference in our workout and the result from the more intense workout could be felt the next day :),,,
Lloydgatsi,6/6/2013,47,m,New Port Richey,FL,5,Race to Review Energy Blends,Fantastic new running fuel!!,"These new Performance Energy Blends from Power Bar are amazingly great tasting!! They are also by helpful in endurance during long distance runs!! I was skeptical when I received them because I had tried several different ones before and feel they didn't help that much, but my time and distance improved when taking them. I am sold!! If you haven't tried them yet I highly reckoned them, you won't be disappointed!!",,348,20
chi1121,6/6/2013,42,f,Chicago,IL,4,Race to Review Energy Blends,Performance Energy Blends Help You Power Up!,"I thought these were great!  The flavor choices are delicious.  They taste like real food - not like a chemical version of something.  I love that they are fruit-based - it makes a difference in how satisfied I feel after.  There's a great ""mouth feel"" (almost like apple sauce).  And, I really love that I can reclose the package - it's been so helpful when I'm on a long bike ride or hike and want to spread out my ""power"".  I've recommended these to a lot of people and have already purchased them again!  The only downside --- they're a little expensive, which might keep people from trying them.",,,
applesandarteries,6/6/2013,37,f,Madison,WI,4,Race to Review Energy Blends,Tasty and easy on-the-go energy!,"The PowerBar Performance Energy Blends are great on-the-go sport fuel.  Much easier to eat than typical gels/shots.  The fruit flavors also taste very natural compared to other items I've tried in the past.  Definitely a go-to for fueling my workouts!",,,1259
kmbrown104,6/6/2013,38,f,Crown Point,IN,5,Race to Review Energy Blends,Helped me power through my early morning race,"We stayed at a hotel prior to a race last weekend.  Other than my Apple Mango Strawberry Energy Blend, there wasn't much to eat prerace.  I was very thankful for my Energy Blend at that point.  It definitely helped me power through the race without feeling sluggish or hungry.  I loved the flavor of this one.  I think that one is my favorite.  I will be a repeat purchaser of this product especially for my early morning running.  ",,,
deepugnath,6/6/2013,43,f,Austin,TX,4,Race to Review Energy Blends,Pretty Good,"I decided to give the Performance Energy Blend a try while I was out on my marathon training last week. The packet is bulky compared to gels so it takes up more space.  But food wise, it feels like you’re actually putting real food in your body. And since it’s almost entirely fruit, you really are putting real food in your body. A lot of people are following the “no sugar no grain” or “paleo” diet and this product is more ideal for them than typical gels.",,,2
Maikenv,6/6/2013,36,f,Daniel Island,SC,5,Race to Review Energy Blends,Great for busy sports kids and teenage (and their moms :)),"As a mom of a teenage dancer and a preteen travel soccer son, this is a great invention. Vitamins, fiber and servings of fruit on the go, as a great all-natural alternative to bars loaded with sugar. It is easy to throw in their workout bag, where they don't take up a lot of space. And I don't have to worry about it being unhealthy. I have yet to find a healthy protein bar, that is not covered in chocolate or loaded with sugar.It is basically pureed fruit in a compact, easy to use packaging.I am buying a bunch to send with my daughter when she goes on her 5-week dance camp. This product is great!",,,
laurenbanshee,6/6/2013,36,f,Lake Placid,FL,4,Race to Review Energy Blends,Very good and fruity,"Myself and my 14 year old daughter each tried this. It was good, but a little thick. We will buy this when I start working out soon.",,,
misskimkim,6/6/2013,37,f,Bonney Lake,WA,4,Race to Review Energy Blends,Great taste - convenient packaging,"I tried the apple/mango/strawberry blend about 30 minutes before my last run. It tasted great and I felt like it helped me keep my energy up during my workout. The real fruit flavor really came through and it was yummy! It was easy to open and drink on my drive to the trailhead. I packed it around in my purse for a few days, and even left it in the car for a few days and it didn't get punctured or cause any issue. Very sturdy little package.",,,
kerryfan,6/5/2013,45,f,San Jose,CA,5,Race to Review Energy Blends,Love the PowerBar Performance Energy Blends,"Love, love, love these....and the more marathon team members I tell, the more love them too.I love the fresh taste. I love how I feel energized and they are easy on my digestive system. I love that they are natural.Keep up the great products for athletes, PowerBar!",,,145
tracy6452,6/5/2013,40,f,Missouri City,TX,3,Race to Review Energy Blends,PowerBar Performance Energy Blends,I thought these really did give me more energy which is why I gave them 3 stars.However I couldn't get past the fact I felt like I was eating baby food.The texture was so similar to baby food I just couldn't get past it.,,,
nnikkib1,6/5/2013,40,f,Lawrenceville,GA,5,Race to Review Energy Blends,Power Bars,I can't believe how delicious these power bars taste. My  family enjoys them because they taste like real fruit. When I first got the power bars my family wasn't sure they would like them. To my surprise they love them.  I had to go buy more power bars. The taste is smooth and sweet at the same time. This is an easy snack when working out.,,0,0
gabbyrose,6/5/2013,32,f,Dallas,TX,5,Race to Review Energy Blends,I've Got The Power !,"I was so pleased when I was invited to participate in the Bzz Agent Campaign for the Power Bar Performance Gel because I wanted to began working out for the summer. That was the motivation I needed, not to mention the fact it was free. The product was awesome and it exceeded my expectations. Power Bar Performance Gel  gave me the extra boost and power I needed to start my new workout regime with energy. Past workouts for me were a struggle, I would get dizzy and feel fatigue. The fatigue would keep me from going to the gym so when the Power Bar Challenge came along I hoped it would make a difference in my work out and it did, after my workout that day I felt powerful. I'm a believer, if you are looking to start working out or need something to boost your regular workout Power Bar Performance Gel is an awesome way to Power your workout.",,18,10
chililizzy,6/5/2013,35,f,Barrington,RI,5,Race to Review Energy Blends,Great Taste & Easy to Take Along on a Long Run ,"I've really enjoyed my PowerBar Performance Energy Blends - the flavors are great, like applesauce/baby food, and the C2Max fruit technology has helped me get through a couple long, hot runs. I like that it goes down easy and doesn't get stuck in your mouth / throat, which some other products tend to do. The cap is a little big (the pouche itself is a little big), but I managed to get it into my fuel belt! ",,,
Chattavegas,6/5/2013,36,m,Atlanta,GA,4,Race to Review Energy Blends,Tastes Good but a little after taste. ,I attended a 5k over the weekend in Atlanta and tried the product for the first time. I have had other PowerBar foods but never this. It did provide a good snack for the run as it was early and I had not eaten yet. I plan to try the other Energy Blend on a hike this weekend weather permitting. I want to see how much energy it will give me when I am walking for several hours. The taste was good but it did leave a few seconds of after taste.  ,,,
spoyledbrat,6/5/2013,36,f,Melbourne,FL,1,Race to Review Energy Blends,Maybe for the baby? Not for this busy mom!,"I really, really wanted to love the new PowerBar Performance Energy Blends. Really. If there is something, anything that can give me a boost, I am all for it. Unfortunately, this one fell short for me. The smell is fruity, somewhat enticing, but the texture is what turns me away. The banana blueberry tastes exactly like Gerber banana baby food. While it is still tasty, I can't consume it as a meal or drink prior to working out. If you're looking for a beverage, this is not it. If you're looking for a snack, this *may* or may not be it. ",,,
jsprague,6/5/2013,43,f,Saginaw,MI,3,Race to Review Energy Blends,OK Energy Blend,"I had my son try this before one of his track meets and he did not like the milky taste of the drink.  He tried the Banana Blueberry and was not impressed and would not drink all of it.  I then tried the Apple Mango a couple of days later and it was not too bad but nothing that I would definitely go out to buy.  As far as it helping with my performance I did not notice much of a difference, I think if I used this on a more regular basis I might have a different opinion but for now it is not something that I would go out to buy.",,,
twit2007,6/5/2013,47,f,North Palm Beach,FL,3,Race to Review Energy Blends,Final Thoughts on PowerBar® Performance Energy Blends,"I love the idea of healthy fruits being combined in a concentrated form for health benefits. Although, I did not feel it provided me an additional energy or a boost in performance I do feel it would be a great product for when traveling or away from home. Fruit ripens quickly and is not always easy to store in a purse or something, I like that it is convenient to use and lasts a long time.",,,5
louver69,6/5/2013,43,m,Cantonment,FL,4,Race to Review Energy Blends,Not a quick pick me up,This is a drink that give you sustained energy not a quick pick me up and works great.  The taste is good too.,,1143,50
shortstuff7117,6/5/2013,36,f,Monterey,CA,4,Race to Review Energy Blends,Power Boost,"I have tried both flavors of the PowerBar Performance Energy Blends and have to give them both good reviews.  I preferred the Banana Blueberry flavor over the Apple, Mango and Strawberry flavor but it was a close one.  The product really gave me an energy boost right when I needed it during my workout and let me stretch my runs longer than usual.  And no crash after it wears off!",,,
Jmartin313,6/5/2013,45,f,Atlanta,GA,5,Race to Review Energy Blends,Better than I ever would've thought!,"I was afraid this would taste like a gel energy pack, which I don't like and they upset my stomach.  But no, this tasted like apple sauce or baby food!  It is so good, I will be using these before my workouts from now on.",,285,14
cstefano,6/5/2013,44,m,Dunedin,FL,4,Race to Review Energy Blends,Power Bar Performance energy blends,I have been using power bars after workouts and during runs for the past few years and was excited when they came out with the performance energy blends. They give the a great boost of energy to last your entire workout. I have also been keeping a few in the refrigerator at work to help get give me a boost during long days. ,,,
mymimila,6/5/2013,42,f,San Fernando,CA,4,Race to Review Energy Blends,"Great snack, compact and tasty","This product: Powerbar energy blends really does what it say it does.  I'm currently training and also very busy! This is a compact way for me to keep my energy up, my hunger in check and it comes in a disposable pouch I can slip into my gym bag! I love the apple mango, it was really tasty! I highly recommend!",,,131
tkd_geocachers,6/5/2013,35,f,Clovis,CA,4,Race to Review Energy Blends,Marketing at its Finest,"I was a little disappointed to read the ingredients on the Power Bar Performance Energy Blends bag.  It consisted of fruit and not much else.  I thought they would have added something to replenish lost nutrients. In other words,  Power Bar placed blended fruit in a bag and called it an energy blend.  I could achieve the same result by placing an applesauce and spoon in my gym bag.  Nonetheless, Power Bar Performance Energy Blends are a bit easier to carry about, making me rate this product a 4 star.  I do appreciate the fact that they did not add preservatives.  I did not really care for the banana blueberry blend.  It reminded me too much of baby food.  The apple mango blend was tart, but more doable than the banana blueberry.  I would probably try these again if I needed to pack something durable in a bag, such as when I hike.",,,2
beancurdie,6/5/2013,39,f,Webster,NY,2,Race to Review Energy Blends,"It's not you PowerBar® Performance Energy Blends, it's me...","I was so excited to try the PowerBar® Performance Energy Blends, but I have to be honest, I couldn't get past the texture to finish the entire sample. I think PowerBar® offers quality products for a somewhat reasonable price, but I think I will stick with bars over the blend. Now I did give my marathon-training neighbor the other sample and she was very pleased with the flavor (Apple Mango Strawberry) and she did think that PowerBar® Performance Energy Blend gave her a needed boost on her long run and asked if she could have the rest of my coupons! ",,242,3
evyonnec,6/5/2013,53,f,Coleman,TX,5,Race to Review Energy Blends,Super product!,Gives me energy before during and revives me after the run!  I love the flavors and the fact the fact they are re-sealable with the twist on lid.  ,,,
Trudy13,6/5/2013,45,f,Salt Lake City,UT,4,Race to Review Energy Blends,Great for Long Bike Rides,"Powerbar Performance Energy Blends are great for long bike rides. They fit easily in the pocket of my jersey. The top is fairly easy to take off and put back on if you don't want to drink it all at once. What I really liked is that they absorbed quickly and didn't make me feel nauseous like so many things I've tried. The banana blueberry was my favorite flavor, though I liked both flavors. After an hour of riding, they gave me the energy I needed to do ride the last hour. I didn't get that heavy feeling in my gut when I finished them.I appreciate the sample I received from Bzzagent since I may not have tried them otherwise. I have looked for them in the store. The only drawback for me was the price. The Performance Energy Blends are almost twice as much as an energy bar. Though they are easier to swallow than an energy bar, I don't think I would buy them on a regular basis. I would carry them on a long ride but not a daily ride. ",,168,4382
dmholbro,6/5/2013,42,m,Round Rock,TX,3,Race to Review Energy Blends,The flavor just isn't there.,"The flavor still isn't good enough for these energy blends. I don't notice the energy boost and I can eat fresh healthy foods just as conveniently without the odd flavor these have. Compared to other energy product tastes, they are average, but that's a low bar to set.",,,
hhill10,6/5/2013,25,f,Dallas,TX,3,Race to Review Energy Blends,Not the best flavor,"I loved the strawberry flavor, but the blueberry one wasn't my favorite. However, it did boost my energy level and I did have a better workout due to the blend so I can't complain all that much ;)",,2534,
joseparadis,6/5/2013,36,m,Peabody,MA,4,Race to Review Energy Blends,Just what the boost you need before and after a workout!,"I found PowerBar® Performance Energy Blends to be a great snack on the go as well as a great boost before and after a workout. I've several energy boosters in the past before workouts but I found these to be much more satisfying and gave me the necessary ""pick me up"" to make it through a grueling workout. After the workout was done, the blend served as a great after workout snack while I'm on the go.",,281,
hhill10,6/5/2013,25,f,Dallas,TX,4,Race to Review Energy Blends,Delicious Pre-Workout Snack,"I was skeptical about the taste, but after I tried it, I was pleasantly surprised! I really enjoyed the flavor and definitely noticed a boost in my energy level which led to a much more productive workout!",,2534,
bmckcmb,6/5/2013,46,f,University Heights,OH,4,Race to Review Energy Blends,Powerbar performance energy blends hits a grand slam!,"Well actually that day it helped my son hit 4 triples. He devoured the blueberry banana package getting very last drop and then played baseball. Having one of his best days ever hitting four triples, he contributed his performance to the energy blend!The package is perfect for sports. Very portable and light. No mess, a personal favorite. Take the cap off drink it put the cap back on and throw it in the trash. As a bzzagent #gotitfree but now I have a stash in my snack cupboard for a perfect k. The go pick me up!",,,48
kjmenser,6/5/2013,51,f,Palmyra,PA,5,Race to Review Energy Blends,Power Bar Energy Blends ,"Tasted wonderful and really helped me cut my time on my last 5k!!I am having some problems finding them locally, but I WILL find them and use everyone of the coupons that were sent to me!!",,249,10
d_m_mom,6/5/2013,38,f,Kansas City,MO,3,Race to Review Energy Blends,Energy Blends 50/50 ,The apple flavored one was pretty good but the banana blueberry was not very good to me.  I couldn't even finish that one.  I'm not sure that these did anything for me but they certainly didn't hurt.  To be completely honest what I noticed after my run was that I just had to pee very badly!!!  Not normal so I attribute that to the whole pouch!  LOL Can't say that I will buy these on my own.   ,,,
jstoverdh,6/5/2013,36,f,Minneapolis,MN,1,Race to Review Energy Blends,Not a fan. Yuck ,"This product needs to go back to the drawing board. Texture, taste, smell all need worked on. I could barely get past the smell but forced myself to at least try it.  It made me gag and I had to spit it out ",,,
suzanne166,6/4/2013,38,f,Houston,TX,4,Race to Review Energy Blends,Taste good,"I enjoyed the energy blends.  They tasted good and gave me a boost for my workout.The banana and blueberry was good.  Tasted like a banana sauce.",,257,9
gabbyrose,6/4/2013,32,f,Dallas,TX,5,Race to Review Energy Blends,Guess What's In My Gym Bag ?,"I was so pleased when I was invited to participate in the Bzz Agent Campaign for the Power Bar Performance Gel because I wanted to began working out for the summer. That was the motivation I needed, not to mention the fact it was free. The product was awesome and it exceeded my expectations. Power Bar Performance Gel  gave me the extra boost and power I needed to start my new workout regime with energy. Past workouts for me were a struggle, I would get dizzy and feel fatigue. The fatigue would keep me from going to the gym so when the Power Bar Challenge came along I hoped it would make a difference in my work out and it did, after my workout that day I felt powerful. I'm a believer, if you are looking to start working out or need something to boost your regular workout Power Bar Performance Gel is an awesome addition to the gym bag.  ",,,10
gayze,6/4/2013,46,f,Redondo Beach,CA,4,Race to Review Energy Blends,Gave me the pick-me-up I needed,"I was feeling extremely sluggish and tired. In fact, I was falling asleep at work. But I wanted to take a Zumba class later on in the evening. When I got home, the PowerBar package had just arrived. I sampled the strawberry blend - and it was a little warm since it had been in the delivery box. But, I did get a burst of energy. Not crazy, hyper energy, but enough to get through the class easily. I worry about power drinks, bars etc. will keep me so animated and hyper that I can't sleep at night, but this didn't happen. ",,93,
DougW113,6/4/2013,35,m,Lancaster,NY,4,Race to Review Energy Blends,Power Bar to the Rescue,"After a long, exhuasting day at work I felt I couldn't muster the energy to go for a run, but I knew I needed to (ate like crap today).  I downed a Banana Blueberry Power Bar PEB and it gave me the energy I needed to get it done today.  The taste is sweet, but mild and not too overpowering.  Great product.  You have made a buyer out of me.",,901,48
Amy131,6/4/2013,35,f,East Weymouth,MA,3,Race to Review Energy Blends,Good but Funny Aftertaste!,"I honestly thought I was going to hate these blends... but I don't.  I still feel a litle like I'm pounding down baby food after I run, but it does give me the fuel I need.  I will say that they do tend to leave an aftertaste which is a no-go for me on a long run, but the shorter duration ones are OK!",,,
Goldstar324,6/4/2013,35,f,Ithaca,NY,5,Race to Review Energy Blends,Energy Blends Rock,"Love the new Power Bar Energy Blends, especially the Banana Blueberry. as a mom of 2 who is always on the go I love the convenience and the great taste followed by a surge of energy.",,,63
ajl82777,6/4/2013,35,f,Bernardsville,NJ,3,Race to Review Energy Blends,"They taste good, but no protein",I figured because it was a power bar item they would have some sort of protein in them.  I was disappointed that they are less healthy then the organic squeeze things I feed my daughter.  I would not buy them.  Its just packaging the childrens food with an adult label and less healthy.,,,
jeannelambrecht,6/4/2013,42,f,Ellsworth,IL,4,Race to Review Energy Blends,Much better than energy gels,"One of the big downsides to energy gels is their taste.  These taste both natural and function like traditional gels.  I actually did not mind taking them, whereas I would always brace myself before knocking back a gel.",,,31
froggyfreebie,6/4/2013,46,f,Cary,NC,4,Race to Review Energy Blends,Quick and Easy Boost!,"I go on many 5K runs and this really helped! I drank the pouch before my run, and it felt like I got a big boost. It was very quick and easy to drink and cap off. I loved the taste of the apple mango energy blend, but I did not enjoy the blueberry blend so much. I have bought a couple more, and it is pretty affordable. Overall, this product is very good for any kind of runner. ",,2,1
tapeugh,6/4/2013,42,f,Delaware,OH,2,Race to Review Energy Blends,PowerBar Performance Energy Blend,"My son and I tried the PowerBar Performance Energy Blend samples we got in our bzzkit. We really didn't like them very well, I thought they tasted a little like baby food out of a jar. If I would try them again, I think putting them in the refrigerator will make them more palatable. I'm willing to at least give them one more try. It would be great to be able to fuel with something beside Gu during my run.",,345,2
